iter	Passed	Remaining
0	1	1465
1	2	1317
2	3	1224
3	4	1188
4	5	1177
5	7	1188
6	8	1171
7	9	1163
8	10	1154
9	11	1172
10	13	1248
11	15	1279
12	17	1311
13	18	1291
14	19	1273
15	20	1256
16	21	1243
17	22	1235
18	23	1224
19	24	1212
20	25	1200
21	27	1234
22	29	1238
23	30	1241
24	31	1233
25	32	1222
26	33	1214
27	34	1204
28	35	1195
29	36	1187
30	37	1182
31	38	1174
32	39	1168
33	40	1163
34	42	1172
35	43	1177
36	45	1184
37	46	1183
38	47	1179
39	48	1174
40	49	1168
41	50	1163
42	52	1159
43	53	1154
44	54	1154
45	55	1151
46	57	1167
47	60	1194
48	61	1197
49	62	1194
50	64	1193
51	65	1189
52	66	1185
53	67	1182
54	68	1180
55	69	1177
56	70	1172
57	72	1180
58	74	1193
59	76	1192
60	77	1187
61	78	1184
62	79	1180
63	80	1175
64	81	1172
65	82	1167
66	83	1162
67	84	1158
68	85	1156
69	87	1159
70	88	1160
71	90	1166
72	91	1164
73	92	1160
74	93	1155
75	95	1156
76	96	1153
77	97	1150
78	98	1147
79	99	1143
80	100	1138
81	101	1141
82	102	1135
83	104	1136
84	105	1133
85	106	1130
86	107	1125
87	108	1122
88	109	1121
89	110	1118
90	111	1115
91	112	1111
92	113	1107
93	114	1104
94	115	1102
95	116	1101
96	118	1099
97	119	1095
98	119	1091
99	120	1088
100	122	1085
101	123	1083
102	124	1080
103	125	1077
104	126	1074
105	126	1069
106	127	1065
107	128	1061
108	129	1058
109	130	1056
110	131	1054
111	132	1052
112	133	1048
113	134	1045
114	135	1041
115	136	1038
116	136	1033
117	137	1030
118	138	1028
119	139	1026
120	140	1024
121	141	1020
122	142	1017
123	143	1014
124	144	1010
125	145	1009
126	146	1006
127	147	1005
128	148	1003
129	149	1001
130	150	999
131	151	996
132	152	994
133	153	991
134	154	988
135	155	986
136	156	983
137	157	980
138	157	978
139	158	975
140	159	973
141	160	970
142	161	968
143	162	967
144	163	965
145	164	964
146	165	961
147	166	959
148	167	957
149	168	954
150	169	952
151	170	950
152	171	947
153	172	945
154	173	943
155	173	940
156	174	939
157	176	938
158	177	936
159	178	935
160	178	931
161	179	929
162	180	927
163	181	925
164	182	923
165	183	921
166	184	918
167	185	916
168	186	914
169	186	912
170	187	910
171	188	908
172	189	907
173	190	906
174	192	905
175	193	904
176	194	902
177	195	901
178	196	899
179	197	897
180	197	895
181	198	893
182	199	891
183	200	889
184	201	887
185	202	885
186	203	883
187	204	881
188	205	881
189	206	880
190	207	879
191	208	877
192	209	876
193	210	874
194	211	872
195	212	870
196	213	868
197	214	866
198	214	865
199	215	863
200	216	861
201	217	859
202	218	857
203	219	856
204	220	855
205	221	854
206	222	853
207	223	851
208	224	850
209	225	849
210	226	847
211	227	845
212	228	844
213	229	842
214	230	841
215	231	839
216	232	839
217	233	837
218	234	836
219	235	836
220	236	835
221	238	834
222	239	833
223	240	832
224	241	830
225	242	830
226	243	828
227	244	827
228	245	825
229	246	823
230	246	822
231	247	820
232	248	819
233	250	819
234	251	818
235	252	817
236	253	815
237	254	814
238	255	812
239	256	811
240	257	809
241	257	807
242	258	805
243	259	804
244	260	802
245	261	801
246	262	799
247	263	797
248	264	796
249	266	798
250	267	797
251	268	796
252	269	795
253	270	794
254	271	793
255	272	792
256	273	791
257	274	789
258	275	788
259	276	786
260	277	784
261	278	783
262	280	785
263	281	785
264	283	785
265	284	784
266	285	783
267	286	781
268	287	780
269	288	779
270	289	778
271	290	776
272	291	774
273	291	773
274	292	771
275	295	773
276	296	774
277	297	773
278	299	772
279	300	771
280	301	770
281	302	769
282	303	768
283	304	766
284	305	766
285	306	765
286	307	764
287	310	766
288	311	767
289	313	766
290	314	765
291	315	764
292	316	763
293	317	762
294	318	761
295	319	760
296	320	758
297	321	757
298	322	755
299	323	755
300	325	755
301	327	756
302	328	755
303	329	753
304	330	752
305	331	751
306	332	750
307	333	748
308	334	747
309	335	746
310	336	744
311	337	743
312	338	742
313	340	743
314	341	742
315	342	741
316	343	740
317	344	739
318	345	738
319	346	736
320	347	735
321	348	733
322	349	732
323	350	731
324	351	729
325	352	728
326	354	728
327	355	728
328	357	728
329	358	727
330	359	725
331	360	724
332	361	723
333	362	722
334	363	721
335	364	719
336	365	718
337	366	716
338	366	715
339	368	715
340	370	715
341	371	714
342	372	713
343	373	712
344	374	711
345	375	710
346	376	709
347	377	707
348	378	706
349	379	705
350	380	703
351	381	702
352	382	701
353	384	701
354	385	701
355	386	700
356	388	699
357	389	697
358	390	696
359	391	695
360	392	694
361	392	692
362	393	691
363	394	689
364	395	688
365	397	687
366	399	688
367	400	688
368	401	687
369	403	686
370	404	686
371	406	685
372	407	684
373	408	683
374	409	681
375	410	680
376	410	679
377	411	677
378	413	677
379	415	677
380	416	676
381	417	675
382	418	674
383	419	672
384	420	671
385	421	670
386	422	669
387	423	668
388	424	667
389	425	666
390	428	667
391	430	667
392	431	666
393	432	665
394	433	664
395	434	662
396	435	661
397	436	660
398	437	659
399	438	657
400	439	656
401	440	655
402	441	654
403	443	653
404	444	653
405	445	652
406	446	651
407	447	649
408	448	648
409	449	647
410	450	645
411	451	644
412	452	643
413	453	642
414	454	640
415	455	639
416	456	638
417	458	638
418	459	637
419	460	636
420	461	634
421	462	633
422	463	632
423	464	631
424	465	630
425	467	629
426	468	628
427	469	626
428	470	625
429	471	624
430	473	624
431	474	623
432	475	623
433	476	622
434	478	620
435	479	619
436	480	618
437	481	617
438	481	615
439	482	614
440	483	613
441	484	611
442	485	610
443	487	610
444	488	609
445	490	609
446	491	607
447	492	606
448	493	605
449	494	604
450	495	603
451	496	602
452	497	600
453	498	599
454	499	598
455	501	598
456	503	597
457	504	596
458	505	595
459	506	594
460	507	593
461	508	592
462	509	591
463	510	590
464	511	588
465	512	587
466	513	586
467	514	584
468	515	583
469	517	583
470	518	582
471	519	581
472	521	580
473	522	579
474	523	578
475	524	577
476	525	576
477	526	574
478	527	573
479	528	572
480	529	571
481	530	570
482	532	569
483	533	569
484	535	568
485	536	567
486	537	565
487	538	564
488	539	563
489	540	562
490	541	561
491	542	560
492	543	559
493	545	558
494	547	558
495	549	558
496	550	556
497	551	555
498	552	554
499	553	553
500	554	552
501	555	550
502	556	549
503	557	548
504	558	547
505	559	546
506	561	546
507	563	545
508	564	544
509	565	543
510	566	542
511	567	541
512	569	540
513	570	539
514	571	537
515	572	536
516	573	535
517	574	534
518	576	533
519	577	533
520	578	532
521	580	531
522	580	529
523	581	528
524	583	527
525	584	526
526	585	525
527	586	524
528	587	522
529	588	521
530	589	520
531	590	519
532	592	519
533	594	518
534	595	517
535	596	516
536	597	515
537	598	514
538	599	512
539	600	511
540	601	510
541	602	509
542	603	507
543	604	507
544	606	506
545	608	505
546	609	504
547	610	503
548	611	502
549	612	500
550	613	499
551	614	498
552	615	497
553	616	496
554	617	494
555	618	493
556	619	493
557	621	492
558	622	491
559	623	490
560	624	488
561	625	487
562	626	486
563	627	485
564	628	483
565	629	482
566	630	481
567	631	480
568	632	479
569	633	477
570	634	476
571	636	476
572	637	474
573	638	473
574	639	472
575	640	471
576	641	470
577	642	469
578	643	467
579	644	466
580	645	465
581	646	464
582	647	462
583	648	461
584	649	460
585	650	459
586	652	458
587	653	457
588	654	456
589	655	455
590	656	454
591	657	453
592	658	452
593	659	450
594	660	449
595	661	448
596	662	447
597	664	446
598	665	445
599	666	444
600	667	443
601	668	441
602	669	440
603	670	439
604	671	438
605	672	436
606	672	435
607	673	434
608	674	433
609	675	431
610	676	430
611	677	429
612	679	428
613	680	427
614	681	426
615	682	425
616	683	424
617	683	422
618	684	421
619	685	420
620	687	419
621	688	418
622	689	416
623	690	415
624	690	414
625	691	413
626	692	412
627	694	411
628	695	409
629	696	408
630	696	407
631	697	406
632	698	405
633	699	403
634	700	402
635	701	401
636	702	400
637	703	398
638	704	397
639	705	396
640	706	395
641	706	394
642	708	393
643	709	392
644	710	390
645	711	389
646	712	388
647	713	387
648	713	386
649	714	384
650	715	383
651	716	382
652	717	381
653	718	380
654	719	378
655	720	377
656	721	376
657	722	375
658	723	374
659	724	373
660	725	371
